タイトル,説明,URL
"160521 ダイノジ大地とキンタロー。の「カンナムスタイル」 ダンス完コピ ...","2016年6月16日  - 1分  - アップロード元: psykyoudensetsu  
PSY - Gangnam Style Dance Cover. ... 160521 ダイノジ大地とキンタロー。の「 カン ... ",https://www.youtube.com/watch?v=0mJuwS7Gb5E
"江南スタイル - Wikipedia","江南スタイル』（カンナムスタイル、朝: &#44053;&#45224;&#49828;&#53440;&#51068;、英: Gangnam Style）は、PSY（サイ
 ）の6枚目の正規アルバム『PSY6甲』に収録されたタイトル曲である。 目次. [非表示]. 1 
 概要; 2 YouTube経由で世界的大ヒットに; 3 チャート成績; 4 欧米諸国での&nbsp;... ",https://ja.wikipedia.org/wiki/%E6%B1%9F%E5%8D%97%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB
"オリラジの「perfect HUMAN」は「カンナムスタイル」のパクリ？ - NAVER ...","オリラジの「perfect HUMAN」は「カンナムスタイル」のパクリ？ オリエンタルラジオ（
 オリラジ）の新ネタ「i&#39;m a perfect HUMAN」は「カンナムスタイル」のパクリ？RADIO 
 FISHってなに？あっちゃんの歌詞は？ 更新日: 2016年05月27日. kamome12345さん
 &nbsp;... ",https://matome.naver.jp/odai/2145767532516216501
"カンナムスタイル 意味・和訳 - NAVER まとめ","2014年12月15日 ... 「オッパ カンナムスタイル」の意味って？知ってるようで知らない、『江南スタイル』 PSY（
 サイ）の紹介や、、歌詞の和訳、ニュースなどのまとめ. ",https://matome.naver.jp/odai/2135770464235186001
"PERFECT HUMAN』のメロディがPSY（サイ）の「カンナムスタイル","2016年2月16日 ... 先述したように「カンナムスタイル」とは、オーストラリアやカナダなど世界10カ国で公式
 チャート1位を記録し、YouTube再生回数は4億7000万回という記録を叩き出した世界
 的大ヒット曲だ。日本ではそれなりに流行った程度であったが、&nbsp;... ",http://rocketnews24.com/2016/02/16/709787/
"人気の「カンナムスタイル」動画 89本 - ニコニコ動画","「カンナムスタイル」動画 89本「最低の試合」「PSY/カンナムスタイル PV」「カンナム
 スタイルとPERFECT HUMANとPPAPを混ぜてみた」 ",http://www.nicovideo.jp/tag/%E3%82%AB%E3%83%B3%E3%83%8A%E3%83%A0%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB
"カンナムスタイル(カタカナ歌詞) arranged by aleaki on Sing! Karaoke ...","Sing PSY - カンナムスタイル(カタカナ歌詞) on Sing! Karaoke. Sing your favorite 
 songs with lyrics and duet with celebrities. －説明－ ( )内の音は、 しっかり発音する
 のではなく、 あいまいに小さく 発音するようにすると、 それらしく聞こえます(たぶん)&nbsp;... ",https://www.smule.com/song/psy-%E3%82%AB%E3%83%B3%E3%83%8A%E3%83%A0%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB-%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A%E6%AD%8C%E8%A9%9E-karaoke-lyrics/86319717_262778/arrangement
"カンナム スタイル／PSY-カラオケ・歌詞検索｜JOYSOUND.com","「カンナム スタイル／PSY」の歌詞・楽曲情報。歌いたい曲や歌詞がすぐに見つかる
 JOYSOUNDのカラオケ楽曲検索です。曲名・歌手名・番組名だけでなく、ランキングや
 特集などから簡単に曲を探すことができます。さあ、歌いたい曲を見つけてカラオケに行
 こう. ",https://www.joysound.com/web/search/song/241817
"パーフェクトヒューマンの作詞作曲は？カンナムスタイルのパクリ？ | 三度 ...","スポンサーリンク. ついにMステ出演も果たして、 「パーフェクトヒューマン」 で大きく話題
 になったオリラジ。 ふと気になったんですが、 この楽曲の作詞と作曲は、 一体誰がして
 いるのでしょうか？ また今回の楽曲が、PSY（サイ）の「カンナムスタイル」のパクリでは
 &nbsp;... ",http://onmymovie.com/perfecthuman-2470
"【余興】大宮駅をカンナムスタイルでジャックするスーツ軍団がかっこよ ...","2015年2月2日 ... 出典：結婚式余興 GANGNAMSTYLE (KYGfamily) 大宮駅東口 突然、大宮駅前に
 現れたスーツの男性と女性たち。何が起こっているのかわからず、街ゆく人も注目し、
 集まってきます。完璧すぎるそのカンナムスタイルのダンスがかっこよすぎ&nbsp;... ",http://fundo.jp/20337
